"","close"
"1",39.880001
"2",40.810001
"3",41.380001
"4",41.689999
"5",41.84
"6",42.380001
"7",41.700001
"8",42.209999
"9",42.02
"10",41.619999
"11",42.060001
"12",41.900002
"13",40.75
"14",39.759998
"15",40.43
"16",40.099998
"17",40.91
"18",39.970001
"19",38.240002
"20",39.759998
"21",39.98
"22",39.189999
"23",37.619999
"24",37.93
"25",37.23
"26",37.93
"27",38.540001
"28",38.060001
"29",38.259998
"30",39.259998
"31",39.82
"32",39.779999
"33",40.139999
"34",40.48
"35",39.77
"36",40.650002
"37",40.169998
"38",40.029999
"39",40.290001
"40",40.5
"41",40.66
"42",41.259998
"43",42.900002
"44",43.040001
"45",42.799999
"46",42.849998
"47",42.849998
"48",43.330002
"49",43.450001
"50",43.970001
"51",44.880001
"52",44.82
"53",44.18
"54",44.389999
"55",44.689999
"56",44.68
"57",44.700001
"58",43.959999
"59",44.5
"60",45.27
"61",45.360001
"62",46.169998
"63",46.240002
"64",45.990002
"65",45.290001
"66",46.009998
"67",46.16
"68",46.720001
"69",47.59
"70",48.330002
"71",48.220001
"72",47.119999
"73",47.669998
"74",48.450001
"75",48.369999
"76",48.580002
"77",49.049999
"78",48.509998
"79",44.93
"80",46.470001
"81",48.099998
"82",46.360001
"83",47.5
"84",45.919998
"85",45.509998
"86",43.68
"87",42.540001
"88",45.650002
"89",46.18
"90",46.32
"91",45.25
"92",43.389999
"93",43.18
"94",41.41
"95",41.240002
"96",38.509998
"97",40.41
"98",39.009998
"99",38.450001
"100",38.720001
"101",40.939999
"102",39.790001
"103",38.790001
"104",40.299999
"105",40.240002
"106",38.41
"107",37.529999
"108",38.119999
"109",37.889999
"110",39.07
"111",39.470001
"112",39.48
"113",40.549999
"114",40.740002
"115",39.93
"116",39.759998
"117",39.75
"118",39.110001
"119",38.650002
"120",37.759998
"121",38.490002
"122",38.049999
"123",35.990002
"124",36.130001
"125",35.830002
"126",36.18
"127",36.470001
"128",38.139999
"129",38.220001
"130",39
"131",38.610001
"132",39.580002
"133",39.419998
"134",39.200001
"135",37.549999
"136",37.700001
"137",38.380001
"138",37.310001
"139",38.830002
"140",38.650002
"141",38.5
"142",38.740002
"143",38.279999
"144",42.98
"145",42.389999
"146",43.610001
"147",42.82
"148",43.23
"149",43.400002
"150",42.950001
"151",43.919998
"152",44.220001
"153",43.049999
"154",42.77
"155",42.200001
"156",42.540001
"157",44.52
"158",44.720001
"159",43.450001
"160",43.130001
"161",43.209999
"162",42.189999
"163",42.560001
"164",42.189999
"165",43.709999
"166",43.23
"167",43.580002
"168",45.75
"169",46.169998
"170",47.220001
"171",46.439999
"172",46.990002
"173",47.23
"174",47.209999
"175",48.200001
"176",47.790001
"177",47.41
"178",47.360001
"179",47.619999
"180",48.380001
"181",47.93
"182",46.52
"183",45.849998
"184",47.240002
"185",47.07
"186",47.689999
"187",47.919998
"188",47.330002
"189",47.759998
"190",47.869999
"191",49.48
"192",50.16
"193",50
"194",49.93
"195",49.700001
"196",49.959999
"197",50.130001
"198",50.240002
"199",49.93
"200",51.400002
"201",50.650002
"202",51.25
"203",51.34
"204",51.02
"205",51.189999
"206",50.57
"207",50.849998
"208",53.43
"209",51.689999
"210",51.380001
