"","close"
"1",9.01
"2",9.04
"3",9.16
"4",9.09
"5",9
"6",9.07
"7",9.14
"8",9.15
"9",9.51
"10",9.43
"11",9.62
"12",9.48
"13",9.2
"14",9
"15",9.01
"16",9.03
"17",8.93
"18",8.72
"19",8.63
"20",8.42
"21",8.4
"22",8.36
"23",8.18
"24",8.21
"25",8.15
"26",8.23
"27",8.29
"28",7.47
"29",7.39
"30",7.41
"31",7.75
"32",7.79
"33",7.69
"34",7.87
"35",7.75
"36",7.8
"37",7.73
"38",7.74
"39",7.77
"40",7.82
"41",7.9
"42",7.92
"43",7.89
"44",7.9
"45",7.74
"46",7.65
"47",7.86
"48",7.78
"49",6.8
"50",7.09
"51",6.95
"52",7.07
"53",7.13
"54",6.95
"55",7.02
"56",7.04
"57",6.96
"58",7.01
"59",7.19
"60",7.25
"61",7.22
"62",7.23
"63",7.21
"64",7.14
"65",7.15
"66",6.98
"67",6.97
"68",6.94
"69",6.9
"70",7.16
"71",7.14
"72",7.34
"73",7.35
"74",7.33
"75",7.23
"76",7.21
"77",7.21
"78",7.06
"79",7.1
"80",6.99
"81",6.96
"82",6.88
"83",6.86
"84",6.68
"85",6.76
"86",6.59
"87",6.38
"88",6.6
"89",6.58
"90",6.81
"91",6.85
"92",6.83
"93",6.81
"94",6.69
"95",6.7
"96",6.34
"97",6.24
"98",6.25
"99",6.1
"100",6.04
"101",6.2
"102",6.05
"103",5.97
"104",6.11
"105",6.03
"106",5.74
"107",5.59
"108",5.52
"109",5.44
"110",5.57
"111",5.77
"112",5.82
"113",6.11
"114",6.1
"115",6.11
"116",6.33
"117",6.18
"118",6.02
"119",6.04
"120",5.96
"121",6.11
"122",6.05
"123",5.77
"124",5.8
"125",5.9
"126",6.14
"127",6.03
"128",6.28
"129",6.38
"130",6.46
"131",6.45
"132",6.5
"133",6.52
"134",6.59
"135",6.11
"136",6.11
"137",6.27
"138",5.97
"139",5.93
"140",5.95
"141",5.95
"142",5.9
"143",5.69
"144",5.6
"145",5.6
"146",5.54
"147",5.55
"148",5.75
"149",5.69
"150",5.8
"151",5.88
"152",5.84
"153",5.57
"154",5.52
"155",5.48
"156",5.47
"157",5.8
"158",5.95
"159",5.84
"160",5.69
"161",5.63
"162",5.49
"163",5.45
"164",5.4
"165",5.49
"166",5.4
"167",5.19
"168",5.13
"169",5.31
"170",5.35
"171",5.21
"172",5.15
"173",5.3
"174",5.33
"175",5.24
"176",5.33
"177",5.39
"178",5.45
"179",5.42
"180",5.54
"181",5.59
"182",5.62
"183",5.53
"184",5.75
"185",5.73
"186",6.18
"187",6.11
"188",6.13
"189",6.07
"190",6.08
"191",6.24
"192",6.14
"193",6.16
"194",6.13
"195",6.13
"196",6.13
"197",6.21
"198",6.16
"199",6.15
"200",6.2
"201",5.97
"202",6.3
"203",6.34
"204",6.3
"205",6.31
"206",6.29
"207",6.31
"208",6.38
"209",6.39
"210",6.32
"211",6.44
"212",6.46
"213",6.49
"214",6.92
"215",6.79
"216",6.69
"217",6.84
"218",6.85
"219",6.74
"220",6.69
"221",6.52
"222",6.56
"223",6.56
"224",6.77
"225",6.66
"226",6.57
"227",6.73
"228",6.58
"229",6.5
"230",6.42
"231",6.52
"232",6.67
"233",6.83
"234",6.68
"235",6.62
"236",6.67
