"","close"
"1",14.61
"2",15.1
"3",15
"4",15.09
"5",15.03
"6",14.84
"7",14.91
"8",15.01
"9",14.97
"10",14.76
"11",14.86
"12",14.82
"13",14.23
"14",13.46
"15",13.48
"16",13.47
"17",13.82
"18",13.51
"19",13.68
"20",13.32
"21",13.8
"22",13.3
"23",12.9
"24",13.01
"25",12.76
"26",13.03
"27",12.92
"28",13.04
"29",13.03
"30",13.55
"31",13.53
"32",13.56
"33",13.67
"34",13.84
"35",13.47
"36",13.63
"37",13.46
"38",13.65
"39",13.61
"40",13.9
"41",13.78
"42",13.77
"43",14.17
"44",14.12
"45",14.44
"46",14.38
"47",14.92
"48",14.97
"49",15.2
"50",15.3
"51",15.24
"52",15.52
"53",15.24
"54",15.35
"55",15.4
"56",15.4
"57",15.39
"58",15.39
"59",15.35
"60",15.12
"61",14.9
"62",15.34
"63",15.58
"64",15.38
"65",15.17
"66",15.41
"67",15.5
"68",15.6
"69",15.6
"70",16.040001
"71",16.120001
"72",15.36
"73",15.67
"74",15.86
"75",15.66
"76",15.82
"77",16.26
"78",16.09
"79",15.37
"80",15.44
"81",16.040001
"82",15.46
"83",16.1
"84",15.34
"85",14.94
"86",14.41
"87",14.08
"88",14.87
"89",14.9
"90",15.21
"91",14.79
"92",14.24
"93",14.21
"94",13.46
"95",13.6
"96",13.04
"97",13.53
"98",13.16
"99",13.19
"100",13.17
"101",13.7
"102",13.45
"103",13.18
"104",13.47
"105",13.52
"106",12.86
"107",12.43
"108",12.64
"109",12.57
"110",13.6
"111",13.66
"112",13.4
"113",13.92
"114",14.08
"115",14.04
"116",14
"117",13.99
"118",13.84
"119",14.01
"120",14.08
"121",14.52
"122",14.76
"123",13.8
"124",13.98
"125",13.92
"126",13.84
"127",13.9
"128",14.57
"129",14.63
"130",14.85
"131",14.65
"132",15.27
"133",15.18
"134",15.21
"135",14.5
"136",14.49
"137",14.83
"138",14.27
"139",14.99
"140",15.06
"141",15.49
"142",15.24
