"","close"
"1",33.060001
"2",33.150002
"3",32.950001
"4",33.080002
"5",34.040001
"6",34.540001
"7",33.709999
"8",33.860001
"9",34.700001
"10",34.02
"11",33.900002
"12",33.82
"13",32.919998
"14",32.23
"15",32.400002
"16",32.389999
"17",32.830002
"18",30.959999
"19",30.66
"20",30.870001
"21",30.66
"22",31.17
"23",30.290001
"24",30.49
"25",30.43
"26",30.68
"27",31.450001
"28",31.57
"29",31.68
"30",32.09
"31",32.66
"32",32.349998
"33",32.950001
"34",33.400002
"35",33.450001
"36",34.209999
"37",34.720001
"38",35.48
"39",34.93
"40",35.099998
"41",34.599998
"42",34.299999
"43",34.98
"44",35.27
"45",36.150002
"46",35.779999
"47",35.619999
"48",35.41
"49",35.689999
"50",36.540001
"51",36.02
"52",36.349998
"53",35.91
"54",36.259998
"55",36.540001
"56",36.380001
"57",35.759998
"58",35.639999
"59",35.639999
"60",35.689999
"61",35.880001
"62",35.610001
"63",35.669998
"64",35.880001
"65",35.07
"66",35.98
"67",36.099998
"68",36.040001
"69",36.23
"70",37.049999
"71",37.689999
"72",36.950001
"73",37.040001
"74",36.59
"75",36.669998
"76",36.950001
"77",37.459999
"78",37.389999
"79",36.68
"80",36.849998
"81",37.66
"82",36.799999
"83",37.700001
"84",36.200001
"85",36.150002
"86",34.880001
"87",34.040001
"88",35.110001
"89",36.169998
"90",35.599998
"91",35.32
"92",35.07
"93",35.810001
"94",35.450001
"95",35.279999
"96",33.189999
"97",33.68
"98",33.700001
"99",33.529999
"100",33.810001
"101",34.77
"102",34.529999
"103",33.490002
"104",34.349998
"105",34.5
"106",33.279999
"107",32.48
"108",32.48
"109",32.200001
"110",33.66
"111",33.740002
"112",34.900002
"113",35.82
"114",35.220001
"115",35.119999
"116",35
"117",34.560001
"118",33.07
"119",33.450001
"120",33.419998
"121",33.549999
"122",33.700001
"123",33.080002
"124",32.669998
"125",33.040001
"126",32.709999
"127",32.279999
"128",33.5
"129",34.029999
"130",34.310001
"131",34.369999
"132",35.169998
"133",35.009998
"134",34.779999
"135",35.099998
"136",35.200001
"137",35.400002
"138",34.5
"139",35.200001
"140",35.5
"141",36.119999
"142",35.73
"143",35.5
"144",35.57
"145",35.490002
"146",36.09
"147",35.529999
"148",36.41
"149",35.82
"150",35.220001
"151",35.639999
"152",35.029999
"153",33.619999
"154",33.68
"155",33.080002
"156",33.060001
"157",33.970001
"158",34.119999
"159",33.66
"160",33.73
"161",33.529999
"162",32.68
"163",32.66
"164",32.639999
"165",33.619999
"166",32.790001
"167",32.75
"168",34.25
"169",34.610001
"170",34.509998
"171",34.220001
"172",34.380001
"173",34.029999
"174",34.02
"175",34.740002
"176",34.77
"177",35.189999
"178",35
"179",35.259998
"180",35.330002
"181",35.57
"182",35.380001
"183",34.66
"184",36.130001
"185",35.119999
"186",35.389999
"187",35.299999
"188",34.700001
"189",34.540001
"190",34.07
"191",34.990002
"192",35.580002
"193",35.419998
"194",35.490002
"195",35.779999
"196",35.619999
"197",35.939999
"198",35.509998
"199",36.049999
"200",36.049999
"201",35.810001
"202",36.450001
"203",36.32
"204",36.139999
"205",36.52
"206",36.77
"207",36.32
"208",35.970001
"209",35.950001
"210",36.119999
"211",36.400002
"212",36.400002
"213",37.259998
"214",37.240002
"215",37.16
"216",36.360001
"217",36.91
"218",37.049999
"219",36.700001
"220",36.57
"221",35.990002
"222",36.290001
"223",36.779999
"224",37.360001
"225",37.130001
"226",36.759998
"227",37.279999
"228",37
"229",36.779999
"230",36.5
"231",37.580002
"232",38.529999
"233",39.139999
"234",39.049999
"235",40.27
"236",40
"237",40.400002
"238",40.450001
"239",39.959999
"240",39.82
"241",39.290001
"242",40.07
"243",39.599998
"244",39.439999
"245",40.330002
"246",40.790001
"247",40.740002
"248",40.619999
"249",40.48
"250",40.509998
"251",40.830002
"252",40.810001
"253",41.639999
"254",41.259998
"255",41.310001
"256",41.419998
"257",41.889999
"258",41.869999
"259",41.799999
"260",41.830002
"261",42.02
"262",42.220001
"263",42.52
"264",41.549999
"265",40.950001
"266",41.130001
"267",41.369999
"268",41.700001
"269",42.23
"270",42.790001
"271",41.349998
"272",41
"273",41.450001
"274",40.450001
"275",40.73
"276",41.060001
"277",41.130001
"278",41.450001
"279",41.34
"280",41.68
"281",42.200001
"282",42.290001
"283",42.639999
"284",43.389999
"285",42.889999
"286",42.82
"287",41.209999
"288",40.169998
"289",40.790001
"290",41.060001
"291",41.610001
"292",40.689999
"293",41.16
"294",43.110001
"295",42.619999
"296",42
"297",43.310001
"298",43.369999
"299",42.720001
"300",42.779999
"301",42.610001
"302",42.580002
"303",42.669998
"304",42.77
"305",42.799999
"306",43.490002
"307",43.279999
"308",42.919998
"309",42.959999
"310",43.540001
"311",43.549999
"312",43.810001
"313",44.43
"314",45.419998
"315",44.849998
"316",45.48
"317",45.419998
"318",45.709999
"319",45.779999
"320",44.259998
"321",44.650002
"322",44.810001
"323",44.599998
"324",47.529999
"325",48.299999
"326",46.93
"327",46.650002
"328",47.23
"329",47.41
"330",47.099998
"331",47.650002
"332",48.09
"333",48.080002
"334",47.68
"335",47.169998
"336",46.880001
"337",46.52
"338",47.18
"339",46.830002
"340",46.380001
"341",46.669998
"342",46.299999
"343",46.150002
"344",45.77
"345",45.43
"346",45.380001
"347",46.450001
"348",46.419998
"349",46.040001
"350",45.27
"351",45.369999
"352",45.099998
"353",45.48
"354",45.150002
"355",45.849998
"356",44.139999
"357",44.560001
"358",43.84
"359",43.189999
"360",43.400002
"361",43.130001
"362",43.18
"363",43.029999
"364",43.110001
"365",44.200001
"366",44.07
"367",44.84
"368",44.970001
"369",45.040001
"370",45.880001
"371",45.740002
"372",46.240002
"373",45.709999
"374",45.939999
"375",46.650002
"376",46.75
"377",47.09
"378",47.740002
"379",47.560001
"380",48.25
"381",49.099998
"382",48.619999
"383",47.959999
"384",47.709999
"385",47.970001
"386",47.709999
"387",48.290001
"388",47.98
"389",47.119999
"390",47.16
"391",47.450001
"392",47.470001
"393",47.279999
"394",45.889999
"395",45.23
"396",45.16
"397",45.240002
"398",45.02
"399",43.48
"400",43.599998
"401",41.380001
"402",42.439999
"403",39.16
"404",40.810001
"405",38.82
"406",39.889999
"407",41.310001
"408",40.689999
"409",39.75
"410",39.450001
"411",37.209999
"412",36.93
"413",37.529999
"414",38.799999
"415",39.049999
"416",38.459999
"417",39.380001
"418",40.470001
"419",40.849998
"420",40.189999
"421",40.009998
"422",38.459999
"423",37.75
"424",38.869999
"425",38.669998
"426",38.049999
"427",38.139999
"428",39.549999
"429",40.049999
"430",40
"431",40.02
"432",39.330002
"433",37.970001
"434",35.98
"435",35.599998
"436",36.369999
"437",37.290001
"438",38.290001
"439",37.18
"440",37.77
"441",36.119999
"442",35.73
"443",37.43
"444",37.450001
"445",38.349998
"446",37.799999
"447",38.720001
"448",38.779999
"449",39.389999
"450",38.889999
"451",42.279999
"452",41.049999
"453",42.09
"454",41.18
"455",41.639999
"456",42.700001
"457",42.740002
"458",41.84
"459",41.830002
"460",43.419998
"461",43.709999
"462",42.310001
"463",41.740002
"464",42.259998
"465",42.84
"466",41.950001
"467",41.610001
"468",42.810001
"469",41.290001
"470",41.259998
"471",42.959999
"472",42.27
"473",42.869999
"474",42.599998
"475",43.580002
"476",43.52
"477",43.68
"478",43.919998
"479",42.950001
"480",42.75
"481",43.779999
"482",44.52
"483",45.720001
"484",45.470001
"485",45.689999
"486",46.029999
"487",45.529999
"488",45.220001
"489",44.040001
"490",44.740002
"491",44.290001
"492",43.41
"493",42.689999
"494",43.290001
"495",44.459999
"496",43.529999
"497",44.830002
"498",44.91
"499",45.080002
"500",45.169998
"501",45.450001
"502",44.93
"503",45.529999
"504",45.07
"505",45.259998
"506",45.349998
"507",44.23
"508",44.720001
"509",45.119999
"510",46.029999
"511",46.52
"512",47.34
"513",47.560001
"514",47.740002
"515",48.169998
"516",48.869999
"517",48.810001
"518",48.560001
"519",48.52
"520",48.630001
"521",49.299999
"522",50.810001
"523",50.75
"524",51.07
"525",51.619999
"526",51.169998
"527",51.509998
"528",51.91
"529",52.380001
"530",51.91
"531",52.790001
"532",52.310001
"533",52.290001
"534",51.720001
"535",51.209999
"536",52.330002
"537",51.759998
"538",51.32
"539",50.950001
"540",50.419998
"541",50.799999
"542",51.009998
"543",50.810001
"544",51.209999
"545",52.09
"546",50.880001
"547",51.240002
"548",50.540001
"549",50.5
"550",51.200001
"551",52.150002
"552",52.240002
"553",53.259998
"554",52.799999
"555",54.650002
"556",54.639999
"557",54.34
"558",53.560001
"559",53.860001
"560",53.610001
"561",53.689999
"562",54.57
"563",54.860001
"564",54.869999
"565",54.919998
"566",54.369999
"567",55.119999
"568",55.73
"569",55.720001
"570",55.919998
"571",55.040001
"572",54.299999
"573",54.5
"574",55.84
"575",56
"576",56.91
"577",56.790001
"578",56.209999
"579",55.380001
"580",56.009998
"581",55.439999
"582",55.650002
"583",56.02
"584",55.389999
"585",55.66
"586",55.310001
"587",55.59
"588",57.099998
"589",56.779999
"590",55.970001
"591",56.290001
"592",56.23
"593",55.5
"594",55.23
"595",55.259998
"596",54.939999
"597",55.59
"598",55.34
"599",52.139999
"600",52.57
"601",54.18
"602",54.310001
"603",55.400002
"604",56.68
"605",56.689999
"606",57.470001
"607",56.720001
"608",57.130001
"609",54.66
"610",53.880001
"611",54
"612",55.119999
"613",54.77
"614",55.389999
"615",55.57
"616",56.279999
"617",56.810001
"618",57.529999
"619",58.549999
"620",60.619999
"621",60.34
"622",59.209999
"623",57.669998
"624",57.25
"625",56.880001
"626",57.009998
"627",57.32
"628",57.740002
"629",59.599998
"630",59.130001
"631",59
"632",59.860001
"633",58.73
"634",59.650002
"635",58.759998
"636",58.48
"637",58.009998
"638",59.09
"639",58.330002
"640",55.150002
"641",54.869999
"642",55.200001
"643",54.400002
"644",54.119999
"645",53.540001
"646",53.610001
"647",54.419998
"648",55.349998
"649",55.119999
"650",55.02
"651",53.779999
"652",54.490002
"653",54.82
"654",54.560001
"655",55.290001
"656",55.060001
"657",54.77
"658",54.91
"659",54.759998
"660",55.16
"661",55.82
"662",55.66
"663",55.41
"664",54.57
"665",54.389999
"666",54.5
"667",54.540001
"668",54.380001
"669",53.119999
"670",53.380001
"671",53.189999
"672",52.43
"673",52.439999
"674",52.740002
"675",51.400002
"676",52.049999
"677",51.650002
"678",52.16
"679",51.900002
"680",52.98
"681",52.52
"682",52.34
"683",51.93
"684",51.549999
"685",51.650002
"686",51.349998
"687",51.040001
"688",51.889999
"689",51.200001
"690",52.369999
"691",52.950001
"692",52.040001
"693",52.029999
"694",52.110001
"695",53.560001
"696",54.259998
"697",55.200001
"698",55.25
"699",54.709999
"700",54.619999
"701",54.790001
"702",58.369999
"703",58.439999
"704",58.459999
"705",58.77
"706",58.23
"707",57.330002
"708",57.34
"709",57.77
"710",56.919998
"711",57.279999
"712",57.16
"713",58.700001
"714",58.599998
"715",58.59
"716",58.830002
"717",59.900002
"718",59.450001
"719",58.599998
"720",58.66
"721",60.040001
"722",60.150002
"723",59.650002
"724",59.099998
"725",59.32
"726",59.639999
