"","close"
"1",48.2901606218
"2",49.0759887738
"3",49.8272892919
"4",50.3885993092
"5",51.5630414508
"6",51.4594110536
"7",49.6286692574
"8",49.620029361
"9",49.8704680484
"10",49.0932616581
"11",49.0932616581
"12",48.3592409327
"13",46.7184792746
"14",45.5613091537
"15",45.5958514681
"16",45.0086398964
"17",44.7927512954
"18",44.1018981002
"19",44.1105379966
"20",45.3367875648
"21",46.1312599309
"22",45.3281511227
"23",43.5060379966
"24",43.8255613126
"25",43.2901606218
"26",44.4905008636
"27",43.9550889465
"28",44.4905008636
"29",44.2659792746
"30",45.5094982729
"31",45.3195189983
"32",45.820380829
"33",46.2003514681
"34",45.8981018999
"35",44.7150302246
"36",44.8186493955
"37",44.51641019
"38",44.8186493955
"39",45.9844585492
"40",46.3385086356
"41",46.1485284974
"42",45.9499093265
"43",46.5457685665
"44",46.3730578584
"45",46.2607918826
"46",46.5803108809
"47",46.4507789292
"48",46.6321183075
"49",46.3816908463
"50",47.2193411054
"51",48.03108981
"52",47.8583791019
"53",47.5215906736
"54",47.4956813472
"55",47.7288393783
"56",47.5647694301
"57",46.5371278066
"58",46.1398998273
"59",47.4784084629
"60",47.6165803109
"61",48.5233186529
"62",49.7754706391
"63",51.3557884284
"64",51.5803108809
"65",51.260791019
"66",51.6062202073
"67",52.1588894646
"68",52.9274594128
"69",52.6597590674
"70",53.2901606218
"71",53.255611399
"72",51.9861787565
"73",51.8825604491
"74",53.2642512954
"75",52.5302193437
"76",52.6597590674
"77",53.3851502591
"78",53.1519887738
"79",51.6666709845
"80",52.633849741
"81",52.409328152
"82",51.9430077721
"83",52.4266010363
"84",50.3540604491
"85",48.6873894646
"86",46.6580310881
"87",45.5094982729
"88",47.789291019
"89",48.1692582038
"90",50.1208989638
"91",49.6027599309
"92",48.7651096719
"93",47.8929214163
"94",47.0293618308
"95",46.5284991365
"96",44.3091502591
"97",45.1813506045
"98",43.6701200346
"99",44.3695984456
"100",44.0759887738
"101",46.1657979275
"102",46.0967210708
"103",44.1105379966
"104",44.6718480138
"105",45.0172685665
"106",43.3765103627
"107",43.1778903282
"108",43.8082884283
"109",43.7651096719
"110",46.8307417962
"111",46.8566511227
"112",47.1157184802
"113",48.1692582038
"114",48.0656312608
"115",48.0051796201
"116",48.1001701209
"117",48.0483583765
"118",46.4421381693
"119",46.2003514681
"120",45.2331580311
"121",45.42314076
"122",44.5854905009
"123",42.9274594128
"124",42.789291019
"125",42.2538903282
"126",41.8307417962
"127",42.0293618308
"128",43.48014076
"129",44.0587193437
"130",43.93782038
"131",43.696029361
"132",43.9550889465
"133",43.6614913644
"134",43.7910189983
"135",43.333328152
"136",43.316058722
"137",43.9809982729
"138",43.6183091537
"139",44.7495682211
"140",47.6683877375
"141",48.1606208981
"142",47.9447288429
"143",47.3834188256
"144",47.0034481866
"145",47.2797884284
"146",48.6269412781
"147",48.1433480138
"148",48.9896390328
"149",49.4300492228
"150",48.6528506045
"151",49.0069084629
"152",48.5060379966
"153",46.4680474957
"154",46.2780682211
"155",47.3402400691
"156",47.8929214163
"157",48.8687400691
"158",48.316058722
"159",47.8842806563
"160",47.409328152
"161",47.5215906736
"162",46.6925690847
"163",46.7875595855
"164",46.5457685665
"165",47.5733981002
"166",47.0207288429
"167",46.2521588947
"168",48.5923989638
"169",49.291880829
"170",49.7841105354
"171",49.300521589
"172",49.2400699482
"173",49.378238342
"174",50.4145086356
"175",51.3730578584
"176",51.1744378239
"177",51.3816908463
"178",50.7771986183
"179",50.9758186529
"180",52.4524991365
"181",52.0034481866
"182",51.7012098446
"183",51.2003514681
"184",52.6079404145
"185",52.0811683938
"186",53.1433480138
"187",52.9015500864
"188",53.4715
"189",53.6614913645
"190",52.6856606218
"191",54.3264196891
"192",54.2400699482
"193",54.6891208981
"194",55.6131286702
"195",56.2694274612
"196",56.0967210708
"197",56.5198592401
"198",56.1744378239
"199",56.6580310881
"200",56.3385086356
"201",54.7409283247
"202",55.6908488774
"203",56.3212392056
"204",56.4680474957
"205",56.7184784111
"206",56.3126105354
"207",55.9930915372
"208",56.1139905009
"209",56.2694274612
"210",56.3557884284
"211",56.8652797928
"212",56.7530207254
"213",58.0829006909
"214",58.5837702936
"215",59.5077702936
"216",57.7720181347
"217",58.5751303973
"218",59.1191709845
"219",57.4697797928
"220",58.0224490501
"221",56.5284991365
"222",56.7012098446
"223",57.8065604491
"224",57.7461088083
"225",57.6252210708
"226",56.3903307427
"227",57.6770284974
"228",56.7702901555
"229",58.3506010363
"230",58.3074300518
"231",59.8618316063
"232",61.0967210708
"233",61.2348894646
"234",61.2435181347
"235",61.4680474957
"236",60.500857513
"237",60.5872184802
"238",61.1657979275
"239",61.4248687392
"240",60.8462901555
"241",60.1813506045
"242",61.0880811745
"243",62.2711597582
"244",62.8411096719
"245",63.4196891192
"246",64.1018981002
"247",63.8946493955
"248",63.9205509499
"249",64.5854870467
"250",65.0863566494
"251",64.3350595855
"252",64.3782417962
"253",65.725386874
"254",64.697746114
"255",65.1036295337
"256",63.9291908463
"257",61.3557884284
"258",62.9620017272
"259",64.1882625216
"260",64.3523324698
"261",63.2987892919
"262",64.0328212436
"263",64.1709818653
"264",63.0915405873
"265",62.392058722
"266",62.4524991365
"267",62.2452504318
"268",61.347148532
"269",63.2383376512
"270",56.7702901555
"271",57.1070785838
"272",57.2538903282
"273",59.0414499137
"274",57.9792702936
"275",58.7132987911
"276",58.2037996546
"277",58.3765103627
"278",59.300521589
"279",58.7823791019
"280",60.2158886011
"281",59.5595889465
"282",61.2348894646
"283",60.8635595855
"284",62.2452504318
"285",62.7547487047
"286",63.7996476684
"287",63.6614913645
"288",63.93782038
"289",62.9274594128
"290",63.4455984456
"291",63.4974093265
"292",62.9101899828
"293",63.3506010363
"294",64.3177867012
"295",63.8169283247
"296",63.4196891192
"297",62.0379974094
"298",61.4162288429
"299",59.291880829
"300",60.0863609672
"301",60.5699499137
"302",59.9050094992
"303",59.136439551
"304",60.7599291883
"305",60.1122582038
"306",61.5284991365
"307",61.4594110536
"308",61.2435181347
"309",61.4162288429
"310",62.651119171
"311",62.0638998273
"312",62.5475
"313",63.1606208981
"314",63.4024196892
"315",63.6701200346
"316",63.3246986183
"317",64.8013756477
"318",65.1640777202
"319",64.8272927462
"320",66.4939568221
"321",64.8532020726
"322",63.0915405873
"323",63.3851502591
"324",63.6183082902
"325",64.2055276339
"326",62.849738342
"327",63.4369576857
"328",64.5336830743
"329",64.9913626943
"330",64.7063903282
"331",64.5509490501
"332",65.8635630398
"333",66.0189965458
"334",66.9084620035
"335",65.9499127807
"336",64.4473186529
"337",63.2469784111
"338",59.2141606218
"339",59.2746079448
"340",60.9585492228
"341",60.7167504318
"342",58.2901606218
"343",57.5388601037
"344",57.3229706391
"345",56.7443886011
"346",57.0725397237
"347",57.9274594128
"348",58.0829006909
"349",57.7547487047
"350",56.8998298791
"351",58.1433480138
"352",58.8860086356
"353",58.7392081175
"354",59.153708981
"355",59.4905008636
"356",58.3937797928
"357",57.9015500864
"358",57.7202107082
"359",56.286701209
"360",56.1139905009
"361",56.0794481866
"362",56.9170984456
"363",56.04491019
"364",55.2245284974
"365",56.0362694301
"366",54.844558722
"367",54.4991416235
"368",54.51641019
"369",54.7150302246
"370",55.5526804836
"371",55.3022495683
"372",54.5941312608
"373",54.2400699482
"374",53.998267703
"375",54.5941312608
"376",55.7771986183
"377",56.7012098446
"378",57.4179611399
"379",57.5561286702
"380",56.50258981
"381",56.95164076
"382",56.6062202073
"383",55.2936096719
"384",55.1381683938
"385",55.3713298791
"386",55.0518108809
"387",56.1571692574
"388",55.5440405873
"389",56.48532038
"390",59.1018981002
"391",58.8860086356
"392",60.198619171
"393",60.0345379966
"394",59.2055276339
"395",57.789291019
"396",55.1727098446
"397",55.4576908463
"398",54.9050094992
"399",53.333328152
"400",52.167529361
"401",49.0673592401
"402",47.6683877375
"403",43.5923989638
"404",44.6545785838
"405",42.2625198619
"406",44.2746079448
"407",44.8186493955
"408",46.2953411054
"409",45.3108782384
"410",45.8031079448
"411",42.867007772
"412",42.0466303973
"413",41.3298791019
"414",43.1951597582
"415",42.7374801382
"416",41.9948195164
"417",42.651119171
"418",44.5077702936
"419",44.5077702936
"420",46.2694283247
"421",46.2348894646
"422",44.8618316062
"423",43.48014076
"424",45.4490509499
"425",44.4127806563
"426",43.333328152
"427",43.1088100173
"428",44.3264196891
"429",44.6027599309
"430",45.1554412781
"431",45.0863609672
"432",43.9550889465
"433",43.8169283247
"434",41.4766804836
"435",38.0397184802
"436",38.7392081175
"437",39.9740906736
"438",40.1468005182
"439",38.6355777202
"440",39.1191709845
"441",38.1347193437
"442",36.3557892919
"443",38.713298791
"444",40.8117409327
"445",41.8739205527
"446",40.7081183074
"447",43.1260794473
"448",43.3851502591
"449",43.8773687392
"450",43.1951597582
"451",45.3454205527
"452",44.51641019
"453",45.7771986183
"454",45.7426606218
"455",46.3730578584
"456",47.7288393783
"457",48.1865310881
"458",47.0466303973
"459",48.4715
"460",50.664939551
"461",50.1381683938
"462",47.8152003455
"463",46.7530207254
"464",48.0397184802
"465",49.5941312608
"466",47.8324697755
"467",47.5733981002
"468",48.1692582038
"469",46.0362694301
"470",47.0552711572
"471",48.01382038
"472",47.7720181347
"473",47.9965509499
"474",47.2366096719
"475",45.3195189983
"476",45.4317815199
"477",44.9654611399
"478",44.0673592401
"479",43.1692582038
"480",42.6943013817
"481",45.3281511227
"482",45.7253911917
"483",48.2901606218
"484",47.797931779
"485",47.3056977548
"486",47.8324697755
"487",47.7720181347
"488",47.867007772
"489",46.3644214163
"490",47.1070785838
"491",45.7858385147
"492",46.0103601037
"493",44.4732279793
"494",44.2746079448
"495",45.0690803109
"496",43.911917962
"497",45.7858385147
"498",47.2366096719
"499",48.6010397237
"500",48.6442107081
"501",48.8169283247
"502",47.5993117444
"503",48.1001701209
"504",48.1347193437
"505",50.1813506045
"506",49.6459386874
"507",49.1278108809
"508",48.9723696028
"509",48.998267703
"510",51.1226303973
"511",50.906738342
"512",50.6044879102
"513",50.7340198619
"514",50.9585492228
"515",52.4611390328
"516",52.1502607945
"517",52.2625198619
"518",52.6597590674
"519",51.5716778929
"520",52.3747780657
"521",53.4628713299
"522",53.0397184802
"523",51.6321183075
"524",51.4680474957
"525",51.2348894646
"526",51.3298791019
"527",52.9015500864
"528",53.316058722
"529",53.4628713299
"530",52.849738342
"531",52.9965509499
"532",52.2107081175
"533",52.6165803109
"534",53.3246994819
"535",54.0932616581
"536",54.0846286702
"537",54.136439551
"538",54.2228005182
"539",54.162349741
"540",55.3713298791
"541",55.9240112263
"542",55.5613091537
"543",55.906738342
"544",55.2158886011
"545",55.5872184802
"546",53.7046580311
"547",52.6856606218
"548",51.5198592401
"549",51.6062202073
"550",52.2538903282
"551",52.1502607945
"552",50.3713298791
"553",51.0276295337
"554",49.9654611399
"555",50.3195189983
"556",50.664939551
"557",51.6753005182
"558",50.0345379966
"559",49.8877409327
"560",48.2037996546
"561",49.3695984456
"562",49.5768583765
"563",48.911917962
"564",48.2469784111
"565",48.3074300518
"566",48.5923989638
"567",49.3264196891
"568",48.0224490501
"569",47.1502607945
"570",46.4680474957
"571",45.9153704663
"572",44.8877409327
"573",44.835917962
"574",46.1571692574
"575",45.5613091537
"576",44.9136390328
"577",46.1485284974
"578",46.0794481866
"579",46.6321183075
"580",46.2521588947
"581",45.7167504318
"582",45.6908488774
"583",46.2694283247
"584",47.167529361
"585",47.0207288429
"586",47.4697797928
"587",48.2815207254
"588",47.7461088083
"589",44.7495682211
"590",43.9205509499
"591",43.6269412781
"592",43.316058722
"593",42.6252210708
"594",42.5043177893
"595",41.7530207254
"596",40.5785785838
"597",40.2677003454
"598",40.3454205527
"599",39.9740906736
"600",39.9740906736
"601",40.8981018999
"602",40.4231416235
"603",40.6994775475
"604",40.8462901555
"605",41.1657979275
"606",41.9602815199
"607",40.6735803109
"608",40.2590708118
"609",39.0328212435
"610",38.8687400691
"611",39.3350595855
"612",40.5181312608
"613",39.6545785838
"614",39.5509490501
"615",38.5492210708
"616",39.1278108809
"617",38.2728799655
"618",38.4715
"619",39.4386899828
"620",38.834201209
"621",39.378238342
"622",39.378238342
"623",37.6943013817
"624",38.4887694301
"625",37.9620017271
"626",38.1606217617
"627",40.0690803109
"628",41.6753005182
"629",43.4283212435
"630",43.4887694301
"631",44.5509490501
"632",43.8082884283
"633",43.3678816926
"634",43.1260794473
"635",42.1416200346
"636",43.1088100173
"637",42.4697797928
"638",42.9792702936
"639",43.5751303973
"640",43.7392081175
"641",44.1882590674
"642",44.758201209
"643",44.7063903282
"644",44.8186493955
"645",43.9637297064
"646",44.4991416235
"647",45.5872193437
"648",46.8911891192
"649",47.0725397237
"650",46.3385086356
"651",46.9775500864
"652",46.6321183075
"653",47.6770284974
"654",47.1761701209
"655",47.6943013817
"656",47.7374801382
"657",47.5906709845
"658",47.4611390328
"659",46.8134689119
"660",46.6839404145
"661",46.8825604491
"662",47.3056977548
"663",47.3229706391
"664",47.184798791
"665",47.4956813472
"666",46.4766804836
"667",45.4576908463
"668",45.5267711572
"669",45.3540604491
"670",45.6131286701
"671",45.0086398964
"672",44.1191709845
"673",44.3264196891
"674",44.2400699482
"675",43.2037996546
"676",44.3868713299
"677",45.1813506045
"678",45.4663195164
"679",45.6562996546
"680",45.6562996546
"681",47.4438704663
"682",48.5664896373
"683",48.0397184802
"684",47.3575094992
"685",46.727119171
"686",47.0120880829
"687",48.0397184802
"688",47.5993117444
"689",46.943007772
"690",45.8031079448
"691",46.666671848
"692",46.3644214163
"693",47.4956813472
"694",48.2728799655
"695",50.2676994819
"696",50.4576908463
"697",50.4749602764
"698",50.1295319517
"699",49.9740906736
"700",49.317791019
"701",50.42314076
"702",50.6908488774
"703",50.9499084629
"704",55.0431778929
"705",54.1450803109
"706",54.5854905009
"707",53.713298791
"708",53.8773687392
"709",52.2797884284
"710",51.9602806563
"711",51.6839404145
"712",51.6493981002
"713",51.8134689119
"714",51.8134689119
"715",51.2521588947
"716",51.6666709845
"717",52.4266010363
"718",50.9671778929
"719",50.1036295337
"720",50.4058678757
"721",50.5699499137
"722",49.4214205527
"723",47.4697797928
"724",47.6856606218
"725",48.5578609672
"726",49.8272892919
"727",49.8013799655
"728",49.6804810018
"729",50.44041019
"730",49.98273057
"731",49.2659792746
"732",49.7236588947
"733",49.300521589
"734",48.998267703
"735",48.48014076
"736",48.01382038
"737",48.4974093265
"738",48.3851502591
"739",48.3678816926
"740",48.8860086356
"741",49.4473186529
"742",50.5958514681
"743",51.0017314335
"744",51.260791019
"745",51.8393782384
"746",53.074267703
"747",52.193439551
"748",53.0569913645
"749",52.1502607945
"750",51.7443886011
"751",51.5630414508
"752",51.3557884284
"753",50.5008583765
"754",51.4248696028
"755",52.3143385147
"756",52.5129507772
"757",52.6165803109
"758",51.9948195164
"759",51.9170984456
"760",51.7961994819
"761",52.409328152
"762",52.8324697755
"763",52.9706381693
"764",53.333328152
"765",53.2642512954
"766",53.3592409327
"767",52.9620017271
"768",53.2901606218
"769",53.0829006909
"770",53.0915405872
"771",53.3592409327
"772",53.1174386874
"773",55.1036295337
"774",54.2659792746
"775",51.3989594128
"776",52.0725397237
"777",51.2348894646
"778",51.8825604491
"779",52.0725397237
"780",51.7012098446
"781",51.8739196891
"782",51.8393782384
"783",51.8998298791
"784",51.8825604491
"785",52.0898091537
"786",52.9792702936
"787",53.5319516408
"788",53.1174386874
"789",52.7115708118
"790",53.2642512954
"791",51.9084585493
"792",52.3575094992
"793",52.7288393783
"794",52.5733981002
"795",52.1588894646
"796",52.1329913645
"797",52.5129507772
"798",52.9706381693
"799",53.1347193437
"800",53.7910189983
"801",53.333328152
"802",53.2642512954
"803",52.9965509499
"804",53.2469784111
"805",53.6614913645
"806",53.48014076
"807",52.6079404145
"808",53.4024196891
"809",52.9188307427
"810",53.2901606218
"811",53.5664896373
"812",54.9136390328
"813",55.0949896373
"814",55.0345379966
"815",54.6545785838
"816",54.5768583765
"817",54.3609689119
"818",54.1968911917
"819",54.1882590674
"820",54.9222789292
"821",55.8376502591
"822",55.3885993092
"823",55.0172685665
"824",53.1433480138
"825",52.0207288429
"826",52.3575094992
"827",51.7961994819
"828",52.6165803109
"829",52.331611399
"830",52.1588894646
"831",52.5475
"832",52.7288393783
"833",53.03108981
"834",52.8411096719
"835",53.7478402418
"836",53.6183082902
"837",52.5043177893
