"","close"
"1",10.85
"2",11.17
"3",11.22
"4",10.84
"5",11.1
"6",10.9
"7",10.26
"8",10.46
"9",10.73
"10",10.13
"11",10.28
"12",9.98
"13",9.8
"14",9.13
"15",9.33
"16",9.44
"17",9.72
"18",9.4
"19",8.72
"20",9.17
"21",9.35
"22",9.02
"23",8.61
"24",8.7
"25",8.91
"26",9.08
"27",8.54
"28",8.53
"29",8.44
"30",8.63
"31",8.73
"32",8.76
"33",8.9
"34",8.94
"35",8.61
"36",9.09
"37",9.07
"38",9.06
"39",9.77
"40",9.57
"41",9.45
"42",9.41
"43",9.46
"44",9.59
"45",9.41
"46",9.87
"47",9.8
"48",9.97
"49",9.73
"50",10.21
"51",10.4
"52",10.16
"53",9.95
"54",10.33
"55",10.54
"56",10.43
"57",10.38
"58",10.49
"59",10.63
"60",10.79
"61",10.37
"62",10.17
"63",10.6
"64",10.23
"65",10.56
"66",10.58
"67",10.73
"68",10.82
"69",10.76
"70",11.3
"71",11.18
"72",10.92
"73",10.79
"74",10.75
"75",10.74
"76",10.93
"77",11
"78",10.97
"79",10.34
"80",10.24
"81",10.21
"82",9.35
"83",9.89
"84",9.52
"85",9.26
"86",8.75
"87",8.57
"88",9.09
"89",8.82
"90",9.33
"91",9.14
"92",8.94
"93",9.17
"94",9.08
"95",8.96
"96",8.74
"97",8.93
"98",8.79
"99",8.8
"100",8.69
"101",9.44
"102",9.09
"103",8.66
"104",9.18
"105",9.24
"106",8.86
"107",8.38
"108",8.54
"109",8.53
"110",8.77
"111",8.93
"112",8.91
"113",9.68
"114",9.91
"115",9.92
"116",10
"117",9.92
"118",9.64
"119",9.82
"120",9.62
"121",9.46
"122",10.02
"123",8.67
"124",8.49
"125",8.38
"126",8.22
"127",8.35
"128",8.89
"129",8.69
"130",8.57
"131",8.55
"132",8.73
"133",8.75
"134",8.66
"135",8.27
"136",8.43
"137",8.45
"138",8.17
"139",8.54
"140",8.48
"141",8.51
"142",8.43
"143",8.24
"144",7.78
"145",7.28
"146",7.65
"147",7.47
"148",7.64
"149",7.7
"150",7.58
"151",7.54
"152",7.27
"153",7.15
"154",7.37
"155",7.28
"156",7.18
"157",7.31
"158",7.45
"159",7.18
"160",7.12
"161",7.38
"162",7.06
"163",7.1
"164",6.78
"165",6.83
"166",6.54
"167",6.46
"168",6.73
"169",6.83
"170",7.05
"171",6.75
"172",6.6
"173",6.8
"174",6.51
"175",7.05
"176",7.27
"177",6.94
"178",7.1
"179",6.76
"180",6.94
"181",6.88
"182",6.72
"183",6.67
"184",7.2
"185",7.03
"186",7.15
"187",7.29
"188",7.21
"189",7.29
"190",6.99
"191",6.93
"192",6.95
"193",7.11
"194",7.59
"195",7.67
"196",7.75
"197",7.65
"198",7.59
"199",7.61
"200",7.54
"201",7.3
"202",7.69
"203",7.5
"204",7.69
"205",7.81
"206",7.72
"207",7.97
"208",7.94
"209",8.26
"210",8.14
"211",8.11
"212",8.09
"213",8.56
"214",8.66
"215",8.24
"216",7.9
"217",7.87
"218",7.85
"219",7.72
"220",7.42
"221",7.22
"222",7.1
"223",7.29
"224",7.39
"225",7.32
"226",7.42
"227",7.75
"228",7.63
"229",7.57
"230",7.27
"231",7.39
"232",7.91
"233",7.92
"234",7.96
"235",7.92
"236",7.94
"237",8.19
"238",8.25
"239",8.14
"240",8.07
"241",7.92
"242",8.05
"243",8.21
"244",8.12
"245",8.14
"246",8.28
"247",7.94
"248",7.81
"249",7.76
"250",7.75
"251",7.9
"252",8.02
"253",8.28
"254",8.44
"255",8.54
"256",8.58
"257",8.65
"258",8.55
"259",8.72
"260",9.34
"261",9.63
"262",9.71
"263",9.66
"264",9.37
"265",9.6
"266",9.84
"267",10.05
"268",9.98
"269",9.95
"270",10.59
"271",10.37
"272",10.54
"273",10.81
"274",10.89
"275",10.9
"276",11.05
"277",11.29
"278",11.44
"279",11.26
"280",11.31
"281",11.32
"282",11.65
"283",11.67
"284",11.63
"285",11.8
"286",11.7
"287",10.92
"288",10.55
"289",10.91
"290",11.44
"291",11.13
"292",10.96
"293",11.09
"294",11.57
"295",11.64
"296",11.03
"297",10.89
"298",10.32
"299",9.93
"300",10.24
"301",10.36
"302",10.43
"303",10.06
"304",10.21
"305",10.07
"306",10.36
"307",10.35
"308",10.61
"309",11.5
"310",11.55
"311",11.55
"312",11.76
"313",11.58
"314",11.47
"315",11.3
"316",11.19
"317",11.02
"318",11.24
"319",11.14
"320",11.07
"321",10.74
"322",10.53
"323",10.62
"324",10.65
"325",10.75
"326",10.42
"327",10.52
"328",11.39
"329",11.52
"330",11.33
"331",11.61
"332",11.8
"333",11.48
"334",11.32
"335",11.24
"336",10.9
"337",10.74
"338",10.91
"339",10.87
"340",10.46
"341",10.63
"342",10.41
"343",10.66
"344",10.4
"345",10.55
"346",9.94
"347",10.06
"348",10.17
"349",10
"350",9.71
"351",9.62
"352",9.61
"353",9.79
"354",10.02
"355",10.2
"356",9.56
"357",9.41
"358",9.16
"359",9.04
"360",8.95
"361",8.5
"362",8.49
"363",8.44
"364",8.29
"365",8.4
"366",8.07
"367",7.87
"368",7.83
"369",7.91
"370",8.14
"371",8.17
"372",8.43
"373",7.21
"374",7.34
"375",7.35
"376",7.47
"377",7.48
"378",7.83
"379",7.78
"380",7.56
"381",7.82
"382",7.68
"383",7.49
"384",7.31
"385",7.49
"386",7.29
"387",7.41
"388",7.23
"389",7.52
"390",7.6
"391",7.65
"392",8.09
"393",7.89
"394",7.86
"395",7.43
"396",7.42
"397",7.37
"398",7.41
"399",7.04
"400",6.99
"401",6.4
"402",6.31
"403",5.71
"404",6.19
"405",5.72
"406",6.37
"407",6.18
"408",6.48
