"","close"
"1",18.49
"2",18.76
"3",18.879999
"4",18.51
"5",18.549999
"6",18.290001
"7",17.67
"8",17.91
"9",17.629999
"10",17.110001
"11",17.43
"12",17.360001
"13",17.049999
"14",16.459999
"15",16.74
"16",16.209999
"17",16.65
"18",16.09
"19",15.39
"20",16.57
"21",16.74
"22",16.879999
"23",15.9
"24",16.219999
"25",16.190001
"26",16.059999
"27",16.370001
"28",17.120001
"29",17.35
"30",17.67
"31",17.84
"32",16.67
"33",16.58
"34",16.610001
"35",16.209999
"36",16.549999
"37",16.4
"38",16.200001
"39",16.85
"40",16.84
"41",16.629999
"42",16.66
"43",17.17
"44",16.92
"45",17.549999
"46",17.59
"47",17.190001
"48",17.25
"49",17.16
"50",17.76
"51",18.1
"52",17.459999
"53",17.25
"54",17.530001
"55",17.889999
"56",17.290001
"57",17.34
"58",17.34
"59",17.559999
"60",17.629999
"61",17.4
"62",17.219999
"63",17.48
"64",17.049999
"65",17.16
"66",16.879999
"67",16.99
"68",17.299999
"69",17.66
"70",17.879999
"71",18.01
"72",17.059999
"73",16.98
"74",17.040001
"75",16.6
"76",16.67
"77",16.440001
"78",16.6
"79",16.129999
"80",16.16
"81",16.65
"82",15.71
"83",15.54
"84",14.75
"85",14.5
"86",14.2
"87",13.96
"88",14.56
"89",14.4
"90",14.68
"91",14.65
"92",12.96
"93",12.99
"94",12.56
"95",12.76
"96",12.46
"97",12.73
"98",12.36
"99",12.69
"100",12.75
"101",13.5
"102",13.14
"103",12.58
"104",12.72
"105",12.7
"106",12.1
"107",11.5
"108",11.18
"109",10.91
"110",11.35
"111",11.61
"112",11.36
"113",11.92
"114",11.77
"115",12.22
"116",12.3
"117",12.01
"118",11.56
"119",11.69
"120",11.11
"121",11.08
"122",11.1
"123",10.48
"124",10.21
"125",10.38
"126",10.25
"127",10.14
"128",10.63
"129",10.31
"130",10.35
"131",10.54
"132",10.92
"133",11.03
"134",10.72
"135",10.05
"136",10.46
"137",10.72
"138",10.37
"139",10.54
"140",10.36
"141",10.55
"142",10.46
"143",10.13
"144",9.13
"145",9.19
"146",9.18
"147",8.94
"148",9.32
"149",9.44
"150",9.55
"151",9.64
"152",9.24
"153",8.88
"154",8.96
"155",9.39
"156",9.15
"157",9.27
"158",9.32
"159",9.88
"160",9.97
"161",9.82
"162",9.72
"163",9.92
"164",9.8
"165",10.12
"166",9.64
"167",9.33
"168",9.4
"169",9.57
"170",9.9
"171",9.99
"172",10.32
"173",10.18
"174",10.07
"175",10.64
"176",10.54
"177",10.56
"178",10.57
"179",10.55
"180",10.71
"181",11.29
"182",11.39
"183",11.62
"184",12.26
"185",12
"186",11.97
"187",11.88
"188",11.68
"189",11.35
"190",11.24
"191",11.32
"192",10.78
"193",10.7
"194",10.86
"195",10.81
"196",11.02
"197",11.34
"198",11.16
"199",11.29
"200",11.36
"201",11.29
"202",11.29
"203",11.09
"204",11.8
"205",11.91
"206",11.87
"207",12.04
"208",12.05
"209",12.02
"210",12.04
"211",12.29
"212",12.38
"213",12.4
"214",12.61
"215",12.66
"216",12.59
"217",12.74
"218",12.61
"219",13.26
"220",13.1
"221",12.71
"222",12.92
"223",13.32
"224",13.75
"225",13.76
"226",13.44
"227",13.77
"228",13.6
"229",13.75
"230",13.61
"231",14.21
"232",14.38
"233",14.79
"234",14.51
"235",14.98
"236",15.11
"237",14.86
"238",14.95
"239",14.57
"240",14.59
"241",14.27
"242",14.29
"243",14.37
"244",14.31
"245",14.87
"246",15.03
"247",14.92
"248",15
"249",14.94
"250",14.94
"251",14.99
"252",15.4
"253",15.82
"254",15.77
"255",16.98
"256",19.33
"257",19.870001
"258",20.629999
"259",20.309999
"260",23.35
"261",23.389999
"262",23.59
"263",23.040001
"264",22.41
"265",22.43
"266",22.219999
"267",24.73
"268",23.969999
"269",24.540001
"270",24.469999
"271",23.76
"272",23.92
"273",24.469999
"274",25.58
"275",25.1
"276",25.67
"277",24.6
"278",23.870001
"279",23.290001
"280",22.82
"281",23.469999
"282",23.110001
"283",22.549999
"284",23.379999
"285",25.68
"286",25.629999
"287",23.209999
"288",22.110001
"289",22.65
"290",23.120001
"291",22.66
"292",21.65
"293",20.75
"294",20.870001
"295",20.76
"296",20.469999
"297",19.549999
"298",19.139999
"299",17.92
"300",18.049999
"301",18.200001
"302",17.66
"303",17.530001
"304",17.860001
"305",17.620001
"306",17.76
"307",17.450001
"308",17.809999
"309",19.23
"310",18.629999
"311",19.32
"312",19.17
"313",18.450001
"314",18.459999
"315",18.200001
"316",17.549999
"317",17.58
"318",17.459999
"319",18.1
"320",17.549999
"321",17.32
"322",17.370001
"323",17.76
"324",18.51
"325",18.709999
"326",18.09
"327",18.02
"328",18.57
"329",18.52
"330",18.809999
"331",19.299999
"332",19.299999
"333",19.51
"334",20
"335",19.73
"336",18.790001
"337",18.65
"338",18.66
"339",19.32
"340",19.75
"341",19.780001
"342",19.870001
"343",20.5
"344",18.26
"345",17.700001
"346",17.629999
"347",18.040001
"348",17.780001
"349",18.09
"350",18.07
"351",18.139999
"352",18.360001
"353",18.82
"354",19.5
"355",20.040001
"356",19.139999
"357",19.049999
"358",18.459999
"359",18.07
"360",18.059999
"361",17.57
"362",17.370001
"363",17.120001
"364",17
"365",17.139999
"366",16.77
"367",16.190001
"368",15.81
"369",15.62
"370",15.96
"371",15.74
"372",16.209999
"373",15.74
"374",15.41
"375",15.5
"376",15.74
"377",15.94
"378",16.15
"379",15.88
"380",15.67
"381",15.73
"382",15.43
"383",14.89
"384",14.69
"385",14.66
"386",14.08
"387",14.1
"388",13.8
"389",14.22
"390",14.04
"391",14.7
"392",15
"393",14.76
"394",14.4
"395",13.86
"396",13.83
"397",13.83
"398",14.57
"399",14.42
"400",14.81
"401",13.4
"402",12.95
"403",11.93
"404",12.93
"405",12.34
"406",13.41
"407",12.88
"408",13.37
"409",12.99
"410",12.81
"411",11.94
"412",11.73
"413",11.94
"414",13.23
"415",13.04
"416",12.48
"417",13.01
"418",13.36
"419",13.68
"420",13.31
"421",13.28
"422",12.92
"423",13.18
"424",14.25
"425",14.18
"426",13.88
"427",14.21
"428",14.53
"429",15.28
"430",15.5
"431",15.46
"432",15.14
"433",14.75
"434",14.47
"435",13.51
"436",13.79
"437",13.82
"438",13.84
"439",13.42
"440",13.09
"441",12.51
"442",11.81
"443",12.9
"444",13.36
"445",13.89
"446",14.15
"447",14.78
"448",14.62
"449",14.61
"450",15.46
"451",15.72
"452",14.94
"453",15.48
"454",15.17
"455",14.41
"456",14.48
"457",15.02
"458",14.45
"459",14.62
"460",15.25
"461",15.6
"462",14.8
"463",14.06
"464",13.82
"465",14.65
"466",14.82
"467",14.74
"468",15.08
"469",14.32
"470",14.47
"471",14.98
"472",14.69
"473",14.88
"474",14.58
"475",14.06
"476",13.93
"477",14.63
"478",15.08
"479",14.44
"480",14.04
"481",14.83
"482",14.91
"483",15.63
"484",15.82
"485",15.72
"486",15.48
"487",15.26
"488",15.17
"489",14.69
"490",14.9
"491",14.53
"492",14.13
"493",13.58
"494",13.46
"495",13.51
"496",13.16
"497",13.9
"498",13.72
"499",14.31
"500",14.17
"501",14.06
"502",13.71
"503",13.97
"504",13.86
"505",14.04
"506",14.2
"507",14.71
"508",14.54
"509",14.54
"510",14.48
"511",14.19
"512",14.1
"513",13.73
"514",13.52
"515",13.98
"516",14.35
"517",14.22
"518",14.61
"519",14.94
"520",14.85
"521",14.71
"522",14.91
"523",14.8
"524",14.77
"525",14.93
"526",15.49
"527",15.82
"528",15.7
"529",15.74
"530",16.309999
"531",16.299999
"532",15.9
"533",16.15
"534",16.24
"535",16.17
"536",16.450001
"537",15.85
"538",15.93
"539",15.82
"540",15.91
"541",15.79
"542",15.47
"543",15.33
"544",15.15
"545",15.25
"546",15.38
"547",14.86
"548",14.72
"549",14.81
"550",14.86
"551",14.82
"552",14.59
"553",14.79
"554",14.37
"555",14.58
"556",14.6
"557",14.64
"558",14.4
"559",14.46
"560",14.44
"561",14.55
"562",14.72
"563",14.82
"564",15.16
"565",15.23
"566",15.4
"567",15.33
"568",15.08
"569",14.65
"570",14.63
"571",14.44
"572",14.16
"573",14.34
"574",14.68
"575",14.16
"576",13.99
"577",14.02
"578",13.87
"579",13.66
"580",13.39
"581",13.23
"582",12.82
"583",13.08
"584",13.09
"585",12.98
"586",13
"587",13.23
"588",12.85
"589",12.63
"590",12.26
"591",12.47
"592",12.46
"593",12.51
"594",12.42
"595",13.21
"596",13.13
"597",13
"598",12.74
"599",12.65
"600",12.08
"601",12.29
"602",12.14
"603",12.44
"604",12.11
"605",12.4
"606",12.72
"607",12.57
"608",12.43
"609",11.98
"610",11.73
"611",12.07
"612",12.39
"613",11.89
"614",12.12
"615",12.26
"616",12.51
"617",12.18
"618",12.03
"619",12.29
"620",12.4
"621",13.24
"622",13.45
"623",12.84
"624",13
"625",12.59
"626",12.73
"627",13.14
"628",13.24
"629",13.82
"630",13.45
"631",13.8
"632",13.66
"633",13.4
"634",13.22
"635",12.82
"636",12.61
"637",12.4
"638",12.56
"639",12.6
"640",12.37
"641",13.06
"642",13.19
"643",12.81
"644",12.98
"645",12.84
"646",13.09
"647",13.15
"648",13.48
"649",13.33
"650",13.54
"651",13.39
"652",13.44
"653",13.72
"654",14.01
"655",14.15
"656",14.23
"657",14.71
"658",14.62
"659",14.81
"660",14.59
"661",14.48
"662",14.78
"663",14.65
"664",14.65
"665",14.61
"666",14.64
"667",14.31
"668",14.6
"669",14.35
"670",14.29
"671",14.32
"672",14.05
"673",14.03
"674",13.28
"675",13.32
"676",13.73
"677",13.4
"678",13.28
"679",13.44
"680",13.59
"681",13.68
"682",13.84
"683",13.46
"684",13.55
"685",13.71
"686",13.61
"687",13.67
"688",13.66
"689",13.41
"690",13.18
"691",13.28
"692",13.34
"693",13.12
"694",13.17
"695",13.04
"696",13.62
"697",13.3
"698",13.17
"699",12.89
"700",12.67
"701",12.74
"702",12.63
"703",12.79
"704",13.16
"705",13.06
"706",12.86
"707",12.11
"708",11.97
"709",12.33
"710",12.17
"711",12.18
"712",12.05
"713",11.98
"714",12.55
"715",12.49
"716",13.02
"717",13.01
"718",12.61
"719",12.68
"720",12.19
"721",11.92
"722",11.83
"723",11.54
"724",11.59
"725",11.38
"726",11.7
"727",11.49
"728",11.82
"729",11.9
"730",12.11
"731",12.16
"732",12.26
"733",12.04
"734",11.97
"735",11.75
"736",12.1
"737",11.96
"738",11.98
"739",11.96
"740",12.36
"741",12.65
"742",12.52
"743",12.53
"744",12.59
"745",12.54
"746",12.56
"747",12.65
"748",12.64
"749",12.35
"750",12.25
"751",12.24
"752",12.16
"753",12.1
"754",12.26
"755",12.72
"756",12.73
"757",13.15
"758",12.77
"759",12.49
"760",12.21
"761",12.23
"762",12.21
"763",12.2
"764",11.98
"765",12.09
"766",12.25
"767",12.17
"768",12.11
"769",12.13
"770",12.19
"771",12.41
"772",12.61
"773",12.34
"774",12.32
"775",12.26
"776",12.37
"777",12.16
"778",12.44
"779",12.34
