"","close"
"1",19.780001
"2",19.719999
"3",19.360001
"4",19.290001
"5",19.16
"6",19.110001
"7",19.09
"8",19.1
"9",19.18
"10",19
"11",19.290001
"12",19.02
"13",19.15
"14",18.82
"15",18.959999
"16",18.629999
"17",18.74
"18",18.42
"19",18.290001
"20",18.440001
"21",18.23
"22",18.17
"23",17.59
"24",18.07
"25",17.719999
"26",17.5
"27",17.870001
"28",17.68
"29",17.610001
"30",17.809999
"31",17.74
"32",17.809999
"33",18.73
"34",18.709999
"35",18.41
"36",18.43
"37",18.26
"38",18.309999
"39",18.25
"40",18.26
"41",18.120001
"42",18.43
"43",18.959999
"44",19.040001
"45",18.969999
"46",19.059999
"47",19.1
"48",18.43
"49",18.24
"50",18.469999
"51",18.49
"52",18.790001
"53",18.58
"54",18.540001
"55",18.52
"56",18.450001
"57",18.719999
"58",18.76
"59",18.73
"60",18.75
"61",18.690001
"62",18.620001
"63",18.879999
"64",19.24
"65",19.27
"66",19.120001
"67",19.23
"68",19.549999
"69",19.610001
"70",19.35
"71",19.299999
"72",18.959999
"73",19.059999
"74",19.290001
"75",19.49
"76",19.6
"77",19.879999
"78",19.540001
"79",18.879999
"80",18.98
"81",19.27
"82",19.290001
"83",19.559999
"84",18.91
"85",18.809999
"86",18.219999
"87",17.219999
"88",18.129999
"89",17.639999
"90",17.68
"91",17.5
"92",16.870001
"93",17.379999
"94",16.959999
"95",17.1
"96",16.219999
"97",16.67
"98",16.219999
"99",16.389999
"100",16.200001
"101",16.76
"102",16.34
"103",15.96
"104",16.450001
"105",16.700001
"106",16.309999
"107",15.87
"108",16.01
"109",15.74
"110",16.120001
"111",16.32
"112",15.85
"113",15.95
"114",15.78
"115",15.4
"116",15.45
"117",15.29
"118",14.89
"119",14.89
"120",14.62
"121",14.94
"122",14.98
"123",14.18
"124",14.18
"125",13.94
"126",13.94
"127",14.13
"128",14.24
"129",14.11
"130",14.24
"131",14.42
"132",14.59
"133",14.5
"134",14.55
"135",15.14
"136",15.17
"137",15.08
"138",14.7
"139",15.12
"140",15.22
"141",15.33
"142",15.24
"143",15
"144",15.04
"145",14.79
"146",15
"147",14.9
"148",15.4
"149",15.43
"150",15.28
"151",15.43
"152",15.22
"153",14.66
"154",14.75
"155",14.52
"156",14.25
"157",14.42
"158",14.35
"159",14
"160",14.13
"161",14.11
"162",13.76
"163",13.49
"164",13.15
"165",13.22
"166",12.82
"167",12.76
"168",13.54
"169",13.77
"170",13.86
"171",13.59
"172",13.73
"173",13.52
"174",13.67
"175",14.02
"176",13.85
"177",13.92
"178",13.67
"179",13.73
"180",13.98
"181",13.92
"182",13.63
"183",13.47
"184",13.97
"185",13.93
"186",14.19
"187",13.95
"188",13.9
"189",14.13
"190",14.02
"191",14.36
"192",14.25
"193",14.15
"194",14.2
"195",13.98
"196",14.03
"197",14.07
"198",14.09
"199",14.51
"200",14.99
"201",14.8
"202",14.88
"203",14.88
"204",14.98
"205",15
"206",15.05
"207",15.52
"208",15.44
"209",15.41
"210",15.43
"211",15.39
"212",15.49
"213",15.84
"214",16.1
"215",15.79
"216",15.53
"217",15.38
"218",15.11
"219",15.16
"220",15.15
"221",15.05
"222",15.04
"223",15.18
"224",15.08
"225",14.97
"226",14.9
"227",15.2
"228",15.05
"229",15.03
"230",15.03
"231",15.69
"232",16.16
"233",16.129999
"234",16.209999
"235",16.27
"236",16.809999
"237",16.809999
"238",16.719999
"239",16.77
"240",16.74
"241",16.790001
"242",17
"243",16.809999
"244",16.83
"245",16.950001
"246",17.08
"247",17.02
"248",17.42
"249",17.4
"250",17.290001
"251",17.15
"252",17.110001
"253",17.5
"254",17.219999
"255",18.08
"256",17.969999
"257",17.889999
"258",17.950001
"259",17.91
"260",18.16
"261",18.549999
"262",18.83
"263",18.870001
"264",18.309999
"265",18.309999
"266",18.190001
"267",18.290001
"268",18.08
"269",18.040001
"270",18.139999
"271",17.790001
"272",18.049999
"273",18.51
"274",18.43
"275",17.84
"276",18.120001
"277",18.549999
"278",19.040001
"279",18.75
"280",19.09
"281",19.25
"282",19.16
"283",19.379999
"284",19.35
"285",19.42
"286",19.450001
"287",18.85
"288",18.75
"289",18.76
"290",18.91
"291",18.969999
"292",18.66
"293",18.549999
"294",18.959999
"295",18.66
"296",18.559999
"297",19.110001
"298",18.9
"299",18.48
"300",18.690001
"301",18.5
"302",17.85
"303",17.16
"304",17.5
"305",17.559999
"306",17.65
"307",17.790001
"308",17.889999
"309",18.07
"310",18.09
"311",17.950001
"312",17.870001
"313",18.32
"314",18.030001
"315",18.51
"316",18.49
"317",18.67
"318",18.719999
"319",18.469999
"320",18.35
"321",18.35
"322",18.25
"323",18.18
"324",18.219999
"325",18.610001
"326",18.040001
"327",17.879999
"328",18.59
"329",18.700001
"330",18.48
"331",18.610001
"332",18.620001
"333",18.57
"334",18.309999
"335",18.200001
"336",18.040001
"337",17.879999
"338",17.82
"339",18.059999
"340",17.92
"341",18.34
"342",18.15
"343",17.98
"344",17.639999
"345",17.450001
"346",17.360001
"347",17.67
"348",17.620001
"349",17.32
"350",17.190001
"351",17.33
"352",17.5
"353",17.42
"354",17.540001
"355",18.01
"356",17.110001
"357",17.059999
"358",16.76
"359",16.360001
"360",16.139999
"361",15.87
"362",16.26
"363",16.040001
"364",16.01
"365",16.309999
"366",16.059999
"367",15.9
"368",15.91
"369",16.1
"370",16.42
"371",16.08
"372",16.030001
"373",15.78
"374",15.81
"375",15.98
"376",16.370001
"377",16.450001
"378",16.719999
"379",16.440001
"380",15.79
"381",16.120001
"382",15.6
"383",15.4
"384",15.41
"385",15.44
"386",15.2
"387",15.01
"388",14.97
"389",15.22
