"","close"
"1",54.400002
"2",55.009998
"3",54.150002
"4",54.110001
"5",53.900002
"6",54.279999
"7",54.59
"8",55.130001
"9",54.790001
"10",53.599998
"11",54.290001
"12",53.360001
"13",51.919998
"14",50.639999
"15",51.700001
"16",51.369999
"17",52.630001
"18",50.599998
"19",49.619999
"20",51.029999
"21",51.169998
"22",50.700001
"23",48.27
"24",48.869999
"25",48.130001
"26",48.689999
"27",49.07
"28",49.009998
"29",48.939999
"30",50.18
"31",49.919998
"32",49.599998
"33",49.950001
"34",50.040001
"35",49.599998
"36",50.630001
"37",50.32
"38",50.689999
"39",51.099998
"40",51.400002
"41",51.639999
"42",52.560001
"43",53.98
"44",53.360001
"45",53.490002
"46",53.439999
"47",53.400002
"48",53.330002
"49",53.450001
"50",53.849998
"51",55.25
"52",55.220001
"53",54.810001
"54",55.459999
"55",55.860001
"56",55
"57",55.220001
"58",55.080002
"59",55.360001
"60",55.209999
"61",54.970001
"62",55.869999
"63",55.860001
"64",55.93
"65",55.540001
"66",55.669998
"67",56.52
"68",56.389999
"69",57.16
"70",58.48
"71",58.700001
"72",56.720001
"73",57.650002
"74",58.5
"75",58.209999
"76",58.98
"77",58.880001
"78",57.810001
"79",56.259998
"80",56.509998
"81",58.889999
"82",57.540001
"83",58.580002
"84",57.310001
"85",56.580002
"86",53.450001
"87",52.509998
"88",55.040001
"89",54.040001
"90",54.98
"91",53.740002
"92",52.470001
"93",53.119999
"94",51.98
"95",51.790001
"96",48.970001
"97",50.990002
"98",48.869999
"99",49.84
"100",49.43
"101",51.470001
"102",49.52
"103",48.709999
"104",50.09
"105",49.470001
"106",47.919998
"107",47.119999
"108",47.970001
"109",47.209999
"110",48.82
"111",49.84
"112",49.380001
"113",50.490002
"114",49.5
"115",49.439999
"116",49.34
"117",48.759998
"118",47.830002
"119",47.630001
"120",46
"121",47.57
"122",46.990002
"123",44.849998
"124",44.389999
"125",44.119999
"126",43.599998
"127",43.779999
"128",45.939999
"129",47.09
"130",47.889999
"131",47.799999
"132",49.139999
"133",48.509998
"134",48.5
"135",46.93
"136",47.27
"137",47.650002
"138",47.119999
"139",49.439999
"140",47.849998
"141",48.470001
"142",48.34
"143",48.209999
"144",48.709999
"145",48.23
