"","close"
"1",12.8
"2",13.91
"3",13.27
"4",13.55
"5",13.33
"6",13.11
"7",12.69
"8",13.95
"9",13.93
"10",13.25
"11",13.26
"12",13.55
"13",13.13
"14",13.21
"15",12.88
"16",12.79
"17",12.83
"18",12.63
"19",12.23
"20",12.75
"21",13.72
"22",13.36
"23",12.36
"24",12.78
"25",13.07
"26",15.36
"27",15.36
"28",15.66
"29",15.95
"30",15.68
"31",15.49
"32",14.98
"33",15.33
"34",15.53
"35",15.58
"36",15.67
"37",15.66
"38",17.15
"39",18.030001
"40",17.870001
"41",18.25
"42",18.059999
"43",18.23
"44",17.52
"45",18.16
"46",18.98
"47",19.17
"48",19.68
"49",19.879999
"50",20.18
"51",19.49
"52",19.530001
"53",18.530001
"54",19.43
"55",19.530001
"56",19.6
"57",19.66
"58",19.91
"59",19.99
"60",19.709999
"61",19.549999
"62",19.51
"63",19.35
"64",19.469999
"65",18.950001
"66",20.23
"67",20.5
"68",21.469999
"69",21.48
"70",22.360001
"71",23.540001
"72",22.83
"73",21.66
"74",21.780001
"75",21.43
"76",21.709999
"77",22.99
"78",22.360001
"79",20.51
"80",21.75
"81",21.469999
"82",21.6
"83",22.110001
"84",19.77
"85",19.780001
"86",17.969999
"87",17.889999
"88",19.43
"89",19.549999
"90",20.370001
"91",20.110001
"92",19.85
"93",19.950001
"94",19.370001
"95",18.84
"96",17.709999
"97",18.530001
"98",18.280001
"99",18.959999
"100",19.75
"101",20.389999
"102",20.01
"103",19.35
"104",21.780001
"105",22.24
"106",21.08
"107",20.299999
"108",20.83
"109",21.34
"110",21.950001
"111",22.780001
"112",22.91
"113",23.74
"114",23.969999
"115",23.92
"116",23.799999
"117",23.24
"118",22.1
"119",22
"120",21.49
"121",20.91
"122",20.809999
"123",19.99
"124",20.559999
"125",20.719999
"126",18.59
"127",18.639999
"128",20.049999
"129",20.51
"130",21.360001
"131",21.42
"132",22.440001
"133",22.700001
"134",21.98
"135",21.35
"136",21.18
"137",22.200001
"138",21.77
"139",22.780001
"140",22.959999
"141",24.25
"142",23.709999
"143",23.780001
"144",23.780001
"145",23.74
"146",24.17
"147",23.200001
"148",22.610001
"149",22.299999
"150",22.32
"151",23.23
"152",22.459999
"153",21
"154",21.360001
"155",21.48
"156",21.74
"157",21.23
"158",21.43
"159",20.58
"160",20.51
"161",20.469999
"162",19.73
"163",19.370001
"164",19.639999
"165",20.450001
"166",20.709999
"167",21.200001
"168",21.93
"169",22.290001
"170",22.5
"171",22.27
"172",22.059999
"173",20.940001
"174",20.84
"175",21.299999
"176",21.77
"177",21.709999
"178",22.219999
"179",21.950001
"180",22.42
"181",23.5
"182",22.639999
"183",22.389999
"184",22.790001
"185",22.84
"186",23.02
"187",23.41
"188",23.66
"189",24.700001
"190",24.1
"191",24.469999
"192",24.969999
"193",25.719999
"194",26.440001
"195",26.040001
"196",26.98
"197",26.690001
"198",25.83
"199",26.15
"200",26.32
"201",25.690001
"202",27.629999
"203",27.799999
"204",27.709999
"205",27.709999
"206",28.440001
"207",29.530001
"208",28.92
"209",29.040001
"210",28.4
"211",28.610001
"212",28.93
"213",27.860001
"214",27.860001
"215",28.59
"216",28.049999
"217",28.040001
"218",28.4
"219",27.870001
"220",27.469999
"221",27.18
"222",27.34
"223",27.98
"224",28.620001
"225",28.68
"226",27.92
"227",29.209999
"228",28.860001
"229",28.200001
"230",27.68
"231",28.370001
"232",28.209999
"233",27.73
"234",27.040001
"235",25.780001
"236",25.42
"237",26.15
"238",26.1
"239",25.190001
"240",24.41
"241",23.860001
"242",24.370001
"243",24.139999
"244",24.200001
"245",24.309999
"246",24.41
"247",23.41
"248",23.41
"249",23.27
"250",23.459999
"251",24.01
"252",23.82
"253",25.129999
"254",25.530001
"255",25.35
"256",25.75
"257",25.950001
"258",26.200001
"259",25.690001
"260",25.9
"261",25.959999
"262",25.879999
"263",25.02
"264",24.379999
"265",24.18
"266",23.75
"267",24.120001
"268",24.09
"269",25.790001
"270",26.959999
"271",25.85
"272",25.4
"273",25.26
"274",24.76
"275",25.629999
"276",25.65
"277",26.42
"278",26.75
"279",26.620001
"280",26.559999
"281",27.290001
"282",26.940001
"283",27.190001
"284",27.48
"285",27.450001
"286",26.92
"287",24.440001
"288",22.780001
"289",24.110001
"290",23.950001
"291",24.040001
"292",23.02
"293",22.51
"294",23.030001
"295",22.26
"296",23.309999
"297",24.780001
"298",24.33
"299",24.950001
"300",24.73
"301",23.99
"302",23.610001
"303",22.83
"304",22.17
"305",23.370001
"306",23.969999
"307",23.450001
"308",23.120001
"309",23.49
"310",23.51
"311",23.450001
"312",22.870001
"313",23.84
"314",22.99
"315",22.940001
"316",22.75
"317",21.75
"318",21.23
"319",21
"320",19.790001
"321",20.52
"322",21.709999
"323",21.370001
"324",20.879999
"325",21.02
"326",21.219999
"327",21.58
"328",21.030001
"329",20.84
"330",22.030001
"331",22.58
"332",22.780001
"333",22.110001
"334",22.82
"335",23.52
"336",23.879999
"337",24.389999
"338",25.790001
"339",25.65
"340",25.35
"341",25.77
"342",25.879999
"343",25.49
"344",25.58
"345",26.15
"346",26.370001
"347",25.93
"348",26.68
"349",26.5
