"","close"
"1",21.08
"2",20.83
"3",20.870001
"4",20.780001
"5",20.790001
"6",20.99
"7",21.24
"8",21.57
"9",21.610001
"10",21.41
"11",21.6
"12",21.540001
"13",21.370001
"14",20.84
"15",20.790001
"16",20.799999
"17",20.940001
"18",20.860001
"19",20.780001
"20",20.85
"21",21.17
"22",20.92
"23",20.23
"24",20.129999
"25",20.040001
"26",20.200001
"27",20.059999
"28",20.290001
"29",20.23
"30",20.6
"31",20.549999
"32",20.84
"33",21.08
"34",21.040001
"35",20.98
"36",21.030001
"37",20.969999
"38",20.809999
"39",21.02
"40",21.219999
"41",21.23
"42",21.059999
"43",21.190001
"44",21.15
"45",21.129999
"46",21.110001
"47",21.09
"48",21.030001
"49",21.15
"50",21.309999
"51",21.440001
"52",21.440001
"53",21.58
"54",21.5
"55",21.299999
"56",21.08
"57",21.059999
"58",21.040001
"59",21.24
"60",21.219999
"61",21.200001
"62",21.4
"63",21.629999
"64",21.84
"65",21.629999
"66",21.49
"67",21.629999
"68",21.74
"69",21.5
"70",21.52
"71",21.23
"72",21.48
"73",21.469999
"74",21.6
"75",21.610001
"76",21.780001
"77",21.940001
"78",21.83
"79",21.459999
"80",21.49
"81",21.610001
"82",21.75
"83",22.1
"84",21.74
"85",21.74
"86",21.110001
"87",20.870001
"88",21.48
"89",21.57
"90",21.559999
"91",21.43
"92",21.27
"93",21.459999
"94",21.299999
"95",21.27
"96",20.610001
"97",20.67
"98",20.48
"99",20.299999
"100",20.27
"101",20.530001
"102",20.49
"103",20.139999
"104",20.540001
"105",20.709999
"106",20.18
"107",20.120001
"108",20.379999
"109",20.15
"110",20.549999
"111",20.559999
"112",20.58
"113",21.059999
"114",21.17
"115",21.459999
"116",21.57
"117",21.49
"118",20.860001
"119",20.67
"120",20.74
"121",20.76
"122",20.93
"123",20.65
"124",20.610001
"125",20.620001
"126",20.709999
"127",20.959999
"128",21.370001
"129",21.6
"130",21.67
"131",21.790001
"132",21.9
"133",21.709999
"134",21.870001
"135",21.450001
"136",21.82
"137",21.98
"138",21.690001
"139",22.02
"140",22.25
"141",22.459999
"142",22.75
"143",22.65
"144",22.26
"145",21.99
"146",22.34
"147",22.1
"148",21.860001
"149",22.059999
"150",22.120001
"151",22.27
"152",22.41
